# Manually curated file. Review and edit row by row; do not generate it from the Ferrari scraper.
model,source_year,production_start_year,production_end_year,production_status,period_source_name,period_source_url,period_source_type,period_confidence,period_review_status,period_notes,period_reviewed_at
250 GT Cabriolet,1957,1957,1962,discontinued,Ferrari 250 GT Cabriolet,https://www.ferrari.com/en-EN/auto/250-gt-cabriolet,manufacturer_model_page,medium,reviewed,Series I and II are aggregated in the archive record,2026-08-15
250 GT Berlinetta passo corto,1959,1959,1962,discontinued,Ferrari 250 GT Berlinetta passo corto,https://www.ferrari.com/en-EN/auto/250-gt-berlinetta-passo-corto,manufacturer_model_page,medium,reviewed,Period runs from Paris debut to the end of SWB production,2026-08-15
400 Superamerica,1960,1960,1964,discontinued,Ferrari 400 Superamerica,https://www.ferrari.com/en-EN/auto/400-superamerica,manufacturer_model_page,medium,reviewed,Series I and II are aggregated in the archive record,2026-08-15
250 GT Berlinetta lusso,1962,1962,1964,discontinued,Ferrari 250 GT Berlinetta Lusso,https://www.ferrari.com/en-EN/auto/250-gt-berlinetta-lusso,manufacturer_model_page,medium,reviewed,Specialist and Wikipedia contrast agree on 1962 to 1964,2026-08-15
250 GTO,1962,1962,1964,discontinued,Ferrari front-engine V12 celebration,https://www.ferrari.com/en-EN/magazine/articles/a-celebration-of-the-front-engine-ferrari-v12,manufacturer_history_article,high,reviewed,Ferrari explicitly states 36 cars were made between 1962 and 1964,2026-08-15
275 GTB,1964,1964,1966,discontinued,Ferrari Sign of its Times,https://www.ferrari.com/en-EN/magazine/articles/sign-of-its-times,manufacturer_history_article,high,reviewed,Ferrari states the four-cam GTB4 debuted after two years,2026-08-15
275 GTS,1964,1964,1966,discontinued,Ferrari 275 GTS,https://www.ferrari.com/en-EN/auto/275-gts,manufacturer_model_page,medium,reviewed,Period cross-checked with specialist model histories,2026-08-15
500 Superfast,1964,1964,1966,discontinued,Ferrari 500 Superfast,https://www.ferrari.com/en-EN/auto/500-superfast,manufacturer_model_page,medium,reviewed,Period cross-checked with specialist model histories,2026-08-15
275 GTB4,1966,1966,1968,discontinued,Ferrari Sign of its Times,https://www.ferrari.com/en-EN/magazine/articles/sign-of-its-times,manufacturer_history_article,high,reviewed,Ferrari dates its debut to 1966 and the 365 GTB4 evolution to 1968,2026-08-15
330 GTC,1966,1966,1968,discontinued,Ferrari 365 GTC,https://www.ferrari.com/en-EN/auto/365-gtc,manufacturer_model_page,high,reviewed,Ferrari describes the 365 GTC as based on the last 330 GTCs,2026-08-15
330 GTS,1966,1966,1968,discontinued,Ferrari 330 GTS,https://www.ferrari.com/en-EN/auto/330-gts,manufacturer_model_page,medium,reviewed,Period cross-checked with specialist model histories,2026-08-15
365 California,1966,1966,1967,discontinued,Ferrari 365 California,https://www.ferrari.com/en-EN/auto/365-california,manufacturer_model_page,medium,reviewed,Very-low-volume production following the 1966 Geneva debut,2026-08-15
365 GTC,1968,1968,1970,discontinued,Ferrari 365 GTC,https://www.ferrari.com/en-EN/auto/365-gtc,manufacturer_model_page,medium,reviewed,Period cross-checked with specialist model histories,2026-08-15
365 GTS,1969,1969,1970,discontinued,Ferrari 365 GTS,https://www.ferrari.com/en-EN/auto/365-gts,manufacturer_model_page,medium,reviewed,Very-low-volume open derivative; period cross-checked with specialist histories,2026-08-15
Dino 206 GT,1967,1967,1969,discontinued,Wikipedia - Dino 206 GT and 246 GT,https://en.wikipedia.org/wiki/Dino_206_GT_and_246_GT,wikipedia,medium,reviewed,Production range reported for the 206 GT,2026-07-27
Dino 246 GT,1969,1969,1974,discontinued,Wikipedia - Dino 206 GT and 246 GT,https://en.wikipedia.org/wiki/Dino_206_GT_and_246_GT,wikipedia,medium,reviewed,Production range reported for the 246 GT coupe,2026-07-27
Dino 246 GTS,1972,1972,1974,discontinued,Wikipedia - Dino 206 GT and 246 GT,https://en.wikipedia.org/wiki/Dino_206_GT_and_246_GT,wikipedia,medium,reviewed,Production range reported for the 246 GTS targa,2026-07-27
365 GT4 BB,1971,1973,1976,discontinued,Ferrari Bloodlines Flat-12,https://www.ferrari.com/en-EN/magazine/articles/bloodlines-flat-12-ferraris,manufacturer_history_article,high,reviewed,Presented at Turin in 1971; Ferrari explicitly dates production start to June 1973 and describes sales over three years,2026-08-15
512 BB,1976,1976,1981,discontinued,Ferrari Bloodlines Flat-12,https://www.ferrari.com/en-EN/magazine/articles/bloodlines-flat-12-ferraris,manufacturer_history_article,high,reviewed,Ferrari states 929 examples were sold through 1981 when the BBi update arrived,2026-08-15
512 BBi,1981,1981,1984,discontinued,Ferrari Bloodlines Flat-12,https://www.ferrari.com/en-EN/magazine/articles/bloodlines-flat-12-ferraris,manufacturer_history_article,high,reviewed,Ferrari dates the injected update to 1981 and the Testarossa replacement to 1984,2026-08-15
Testarossa,1984,1984,1991,discontinued,Ferrari Bloodlines Flat-12,https://www.ferrari.com/en-EN/magazine/articles/bloodlines-flat-12-ferraris,manufacturer_history_article,high,reviewed,Ferrari dates the launch to 1984 and the 512 TR evolution to 1991,2026-08-15
512 TR,1991,1992,1994,discontinued,Ferrari Evolution of an Icon,https://www.ferrari.com/en-EN/history/moments/1991/evolution-of-an-icon/more,manufacturer_history_article,high,reviewed,Presented in the 1991 archive context; Ferrari explicitly says the production response arrived in 1992,2026-08-15
F512 M,1994,1994,1996,discontinued,Ferrari Bloodlines Flat-12,https://www.ferrari.com/en-EN/magazine/articles/bloodlines-flat-12-ferraris,manufacturer_history_article,high,reviewed,Ferrari dates the final modified flat-12 to 1994 and its 550 replacement to 1996,2026-08-15
308 GTB,1975,1975,1980,discontinued,Wikipedia - Ferrari 308 GTB/GTS,https://en.wikipedia.org/wiki/Ferrari_308_GTB/GTS,wikipedia,medium,reviewed,Carbureted GTB production before the GTBi replacement,2026-07-27
308 GTS,1977,1977,1980,discontinued,Wikipedia - Ferrari 308 GTB/GTS,https://en.wikipedia.org/wiki/Ferrari_308_GTB/GTS,wikipedia,medium,reviewed,Carbureted GTS production before the GTSi replacement,2026-07-27
208 GTB,1980,1980,1981,discontinued,Wikipedia - Ferrari 308 GTB/GTS,https://en.wikipedia.org/wiki/Ferrari_308_GTB/GTS,wikipedia,medium,reviewed,Source reports 208 GTB production in 1980 and 1981,2026-07-27
208 GTS,1980,1980,1981,discontinued,Wikipedia - Ferrari 308 GTB/GTS,https://en.wikipedia.org/wiki/Ferrari_308_GTB/GTS,wikipedia,medium,reviewed,Source reports 208 GTS production in 1980 and 1981,2026-07-27
308 GTBi,1980,1980,1982,discontinued,Wikipedia - Ferrari 308 GTB/GTS,https://en.wikipedia.org/wiki/Ferrari_308_GTB/GTS,wikipedia,medium,reviewed,Fuel-injected model replaced by the Quattrovalvole in 1982,2026-07-27
308 GTSi,1980,1980,1982,discontinued,Wikipedia - Ferrari 308 GTB/GTS,https://en.wikipedia.org/wiki/Ferrari_308_GTB/GTS,wikipedia,medium,reviewed,Fuel-injected model replaced by the Quattrovalvole in 1982,2026-07-27
208 GTB Turbo,1982,1982,1985,discontinued,Wikipedia - Ferrari 308 GTB/GTS,https://en.wikipedia.org/wiki/Ferrari_308_GTB/GTS,wikipedia,medium,reviewed,Turbo GTB production ended in 1985,2026-07-27
208 GTS Turbo,1983,1983,1985,discontinued,Wikipedia - Ferrari 308 GTB/GTS,https://en.wikipedia.org/wiki/Ferrari_308_GTB/GTS,wikipedia,medium,reviewed,GTS Turbo introduced in 1983 and production ended in 1985,2026-07-27
308 GTB Quattrovalvole,1982,1982,1985,discontinued,Wikipedia - Ferrari 308 GTB/GTS,https://en.wikipedia.org/wiki/Ferrari_308_GTB/GTS,wikipedia,medium,reviewed,Quattrovalvole production range reported as 1982 to 1985,2026-07-27
308 GTS Quattrovalvole,1982,1982,1985,discontinued,Wikipedia - Ferrari 308 GTB/GTS,https://en.wikipedia.org/wiki/Ferrari_308_GTB/GTS,wikipedia,medium,reviewed,Quattrovalvole production range reported as 1982 to 1985,2026-07-27
328 GTB,1985,1985,1989,discontinued,Wikipedia - Ferrari 328,https://en.wikipedia.org/wiki/Ferrari_328,wikipedia,medium,reviewed,Production range reported for the 328 family,2026-07-27
328 GTS,1985,1985,1989,discontinued,Wikipedia - Ferrari 328,https://en.wikipedia.org/wiki/Ferrari_328,wikipedia,medium,reviewed,Production range reported for the 328 family,2026-07-27
348 TB,1989,1989,1993,discontinued,Wikipedia - Ferrari 348,https://en.wikipedia.org/wiki/Ferrari_348,wikipedia,medium,reviewed,Original tb variant replaced by the revised GTB in 1993,2026-07-27
348 TS,1989,1989,1993,discontinued,Wikipedia - Ferrari 348,https://en.wikipedia.org/wiki/Ferrari_348,wikipedia,medium,reviewed,Original ts variant replaced by the revised GTS in 1993,2026-07-27
348 Challenge,1993,1993,1995,discontinued,Ferrari 296 Challenge press kit,https://www.ferrari.com/content/dam/ferrari-fcom/old/pdf/Ferrari2029620Challenge_gbr.pdf,manufacturer_press_release,medium,reviewed,Ferrari lists the 348 Challenge as fielded from 1993 to 1995,2026-07-27
348 GT Competizione,1993,1993,1994,discontinued,Wikipedia - Ferrari 348,https://en.wikipedia.org/wiki/Ferrari_348,wikipedia,medium,reviewed,Limited competition-oriented variant produced across 1993 and 1994,2026-07-27
348 GTB,1993,1993,1995,discontinued,Wikipedia - Ferrari 348,https://en.wikipedia.org/wiki/Ferrari_348,wikipedia,medium,reviewed,Revised GTB variant ran through the end of 348 family production,2026-07-27
348 GTS,1993,1993,1995,discontinued,Wikipedia - Ferrari 348,https://en.wikipedia.org/wiki/Ferrari_348,wikipedia,medium,reviewed,Revised GTS variant ran through the end of 348 family production,2026-07-27
348 Spider,1993,1993,1995,discontinued,Wikipedia - Ferrari 348,https://en.wikipedia.org/wiki/Ferrari_348,wikipedia,medium,reviewed,Spider variant ran through the end of 348 family production,2026-07-27
F355 Berlinetta,1994,1994,1999,discontinued,Ferrari - F355 Berlinetta: The Best in the World,https://www.ferrari.com/en-EN/magazine/articles/f355-berlinetta-the-best-in-the-world,manufacturer_article,high,reviewed,Ferrari states it was unveiled in 1994 and sold through 1999,2026-07-27
F355 GTS,1994,1994,1999,discontinued,Wikipedia - Ferrari F355,https://en.wikipedia.org/wiki/Ferrari_F355,wikipedia,medium,reviewed,Variant follows the F355 family production range,2026-07-27
F355 Challenge,1995,1995,2001,discontinued,Ferrari 296 Challenge press kit,https://www.ferrari.com/content/dam/ferrari-fcom/old/pdf/Ferrari2029620Challenge_gbr.pdf,manufacturer_press_release,medium,reviewed,Ferrari lists the F355 Challenge as fielded from 1995 to 2001,2026-07-27
F355 Spider,1995,1995,1999,discontinued,Wikipedia - Ferrari F355,https://en.wikipedia.org/wiki/Ferrari_F355,wikipedia,medium,reviewed,Spider introduced in 1995 and follows the F355 family end year,2026-07-27
360 Modena,1999,1999,2004,discontinued,Wikipedia - Ferrari 360,https://en.wikipedia.org/wiki/Ferrari_360,wikipedia,medium,reviewed,Production rather than model-year range; replaced by the F430 in 2004,2026-07-27
360 Challenge,2000,2000,2006,discontinued,Wikipedia - Ferrari Challenge,https://en.wikipedia.org/wiki/Ferrari_Challenge,wikipedia,medium,reviewed,Years represent its lifecycle as the primary Ferrari Challenge car,2026-07-27
360 spider,2000,2000,2004,discontinued,Wikipedia - Ferrari 360,https://en.wikipedia.org/wiki/Ferrari_360,wikipedia,medium,reviewed,Spider variant follows the 360 family production period,2026-07-27
360 GT,2002,2002,2004,discontinued,Wikipedia - Ferrari 360,https://en.wikipedia.org/wiki/Ferrari_360,wikipedia,medium,reviewed,Source explicitly reports customer-car production from 2002 to 2004,2026-07-27
Challenge Stradale,2003,2003,2004,discontinued,Wikipedia - Ferrari 360,https://en.wikipedia.org/wiki/Ferrari_360,wikipedia,medium,reviewed,Track-focused road variant produced near the end of the 360 family lifecycle,2026-07-27
360 GTC,2004,2004,2005,discontinued,Wikipedia - Ferrari 360,https://en.wikipedia.org/wiki/Ferrari_360,wikipedia,low,needs_cross_check,Introduced for 2004; provisional end precedes the F430 GTC replacement,2026-07-27
F430,2004,2004,2009,discontinued,Wikipedia - Ferrari F430,https://en.wikipedia.org/wiki/Ferrari_F430,wikipedia,medium,reviewed,Production ran from mid-2004 through July 2009,2026-07-27
F430 Spider,2005,2005,2009,discontinued,Wikipedia - Ferrari F430,https://en.wikipedia.org/wiki/Ferrari_F430,wikipedia,medium,reviewed,Spider introduced in 2005 and follows the F430 family end year,2026-07-27
F430 Challenge,2006,2006,2011,discontinued,Wikipedia - Ferrari Challenge,https://en.wikipedia.org/wiki/Ferrari_Challenge,wikipedia,medium,reviewed,Years represent its lifecycle as the primary Ferrari Challenge car,2026-07-27
430 Scuderia,2007,2007,2009,discontinued,Wikipedia - Ferrari F430,https://en.wikipedia.org/wiki/Ferrari_F430,wikipedia,medium,reviewed,Introduced in 2007 and ended with the F430 family,2026-07-27
Scuderia Spider 16M,2008,2009,2009,discontinued,Wikipedia - Ferrari F430,https://en.wikipedia.org/wiki/Ferrari_F430,wikipedia,medium,reviewed,Unveiled in 2008; source reports production beginning in early 2009,2026-07-27
Ferrari 458 Italia,2009,2009,2015,discontinued,Wikipedia - Ferrari 458,https://en.wikipedia.org/wiki/Ferrari_458,wikipedia,medium,reviewed,Production range reported for the 458 family,2026-07-27
458 Challenge,2010,2011,2013,discontinued,Wikipedia - Ferrari 458,https://en.wikipedia.org/wiki/Ferrari_458,wikipedia,medium,reviewed,Presented in 2010 for competition use from 2011 through 2013,2026-07-27
458 Spider,2011,2011,2015,discontinued,Wikipedia - Ferrari 458,https://en.wikipedia.org/wiki/Ferrari_458,wikipedia,medium,reviewed,Variant production range reported as 2011 to 2015,2026-07-27
458 Speciale,2013,2013,2015,discontinued,Wikipedia - Ferrari 458,https://en.wikipedia.org/wiki/Ferrari_458,wikipedia,medium,reviewed,Variant production range reported as 2013 to 2015,2026-07-27
458 Challenge EVO,2014,2014,2016,discontinued,Wikipedia - Ferrari 458,https://en.wikipedia.org/wiki/Ferrari_458,wikipedia,medium,reviewed,Years represent its lifecycle as the primary Evo specification in Ferrari Challenge,2026-07-27
458 Speciale A,2014,2014,2015,discontinued,Wikipedia - Ferrari 458,https://en.wikipedia.org/wiki/Ferrari_458,wikipedia,medium,reviewed,Variant production range reported as 2014 to 2015,2026-07-27
488 GTB,2015,2015,2019,discontinued,Wikipedia - Ferrari 488,https://en.wikipedia.org/wiki/Ferrari_488,wikipedia,medium,reviewed,GTB replaced by F8 Tributo while the wider 488 family continued into 2020,2026-07-27
488 Spider,2016,2015,2019,discontinued,Wikipedia - Ferrari 488,https://en.wikipedia.org/wiki/Ferrari_488,wikipedia,medium,reviewed,Revealed in 2015; source year retained from scraper while production start is corrected,2026-07-27
488 Challenge,2016,2017,2020,discontinued,Wikipedia - Ferrari Challenge,https://en.wikipedia.org/wiki/Ferrari_Challenge,wikipedia,medium,reviewed,Revealed in 2016 and served as the primary Challenge specification from 2017 to 2020,2026-07-27
488 Pista Spider,2018,2018,2020,discontinued,Wikipedia - Ferrari 488,https://en.wikipedia.org/wiki/Ferrari_488,wikipedia,medium,reviewed,Introduced in 2018 and follows the wider 488 family production end,2026-07-27
F8 Tributo,2019,2019,2023,discontinued,Ferrari 2024 Annual Report,https://cdn.ferrari.com/download/Ferrari_Annual_Report_2024.pdf,manufacturer_report,medium,reviewed,Report states F8 Tributo deliveries were phased out in Q1 2023,2026-07-27
F8 Spider,2019,2019,2023,discontinued,Ferrari 2024 Annual Report,https://cdn.ferrari.com/download/Ferrari_Annual_Report_2024.pdf,manufacturer_report,medium,reviewed,Report states F8 Spider deliveries were phased out in Q4 2023,2026-07-27
365 GTB4,1968,1968,1973,discontinued,Wikipedia - Ferrari Daytona,https://en.wikipedia.org/wiki/Ferrari_Daytona,wikipedia,medium,reviewed,Production range reported for the GTB/4 coupe,2026-07-27
365 GTS4,1969,1971,1973,discontinued,Wikipedia - Ferrari Daytona,https://en.wikipedia.org/wiki/Ferrari_Daytona,wikipedia,medium,reviewed,Source year reflects the earlier model record; series production is reported from 1971,2026-07-27
365 GTB4 Competizione,1971,1971,1973,discontinued,Wikipedia - Ferrari Daytona,https://en.wikipedia.org/wiki/Ferrari_Daytona,wikipedia,medium,reviewed,Factory competition cars were built in three batches ending in 1973,2026-07-27
550 Maranello,1996,1996,2001,discontinued,Australian vehicle register,https://www.rover.infrastructure.gov.au/PublishedApprovals/SEVDetails/?id=227ae509-2aea-ee11-a1fd-002248969682,government_registry,medium,reviewed,Registry reports build range July 1996 to March 2001 while Wikipedia reports through 2002,2026-07-27
550 Barchetta Pininfarina,2000,2000,2001,discontinued,Wikipedia - Ferrari 550,https://en.wikipedia.org/wiki/Ferrari_550,wikipedia,medium,reviewed,Introduced in 2000 with production examples associated with 2000 and 2001,2026-07-27
575M Maranello,2002,2002,2006,discontinued,Wikipedia - Ferrari 575M Maranello,https://en.wikipedia.org/wiki/Ferrari_575M_Maranello,wikipedia,medium,reviewed,Production range reported as 2002 to 2006,2026-07-27
Superamerica,2005,2005,2006,discontinued,Wikipedia - Ferrari 575M Maranello,https://en.wikipedia.org/wiki/Ferrari_575M_Maranello,wikipedia,medium,reviewed,Introduced in 2005 and produced within the final 575M lifecycle,2026-07-27
599 GTB Fiorano,2006,2006,2012,discontinued,Wikipedia - Ferrari 599,https://en.wikipedia.org/wiki/Ferrari_599,wikipedia,medium,reviewed,Production range reported as 2006 to 2012,2026-07-27
F12berlinetta,2012,2012,2017,discontinued,Wikipedia - Ferrari F12,https://en.wikipedia.org/wiki/Ferrari_F12,wikipedia,medium,reviewed,Production range reported as 2012 to 2017,2026-07-27
F12tdf,2015,2015,2017,discontinued,Wikipedia - Ferrari F12,https://en.wikipedia.org/wiki/Ferrari_F12,wikipedia,medium,reviewed,Variant production range reported as 2015 to 2017,2026-07-27
812 Superfast,2017,2017,2024,discontinued,Wikipedia - Ferrari 812 Superfast,https://en.wikipedia.org/wiki/Ferrari_812_Superfast,wikipedia,medium,reviewed,Production range reported as 2017 to 2024,2026-07-27
599 GTO,2010,2010,2012,discontinued,Ferrari 599 GTO,https://www.ferrari.com/en-EN/auto/599-gto,manufacturer_model_page,medium,reviewed,Limited series produced within the final 599 lifecycle,2026-08-15
SA APERTA,2010,2010,2011,discontinued,Ferrari SA Aperta,https://www.ferrari.com/en-EN/auto/sa-aperta,manufacturer_model_page,medium,reviewed,Presentation year confirmed by Ferrari; completion year cross-checked with specialist histories,2026-08-15
812 Competizione A,2021,2021,2024,discontinued,Ferrari 2024 Annual Report,https://cdn.ferrari.com/download/Ferrari_Annual_Report_2024.pdf,manufacturer_report,medium,reviewed,Open Competizione derivative completed within the 812 phase-out,2026-08-15
12Cilindri,2024,2024,,active,Ferrari 12Cilindri launch,https://www.ferrari.com/en-EN/corporate/articles/ferrari-12cilindri-for-the-few,manufacturer_press_release,high,reviewed,Active model; no end year assigned,2026-08-15
12Cilindri Spider,2024,2024,,active,Ferrari 12Cilindri Spider,https://www.ferrari.com/en-EN/auto/ferrari-12cilindri-spider,manufacturer_model_page,high,reviewed,Active model; no end year assigned,2026-08-15
250 GT 2+2,1960,1960,1963,discontinued,Ferrari 250 GT 2+2,https://www.ferrari.com/en-EN/auto/250-gt-2-2,manufacturer_model_page,medium,reviewed,End year cross-checked with specialist histories before the 330 GT 2+2,2026-08-15
330 America,1963,1963,1963,discontinued,Ferrari 250 GT 2+2 and 330 GT Registry,https://www.ferrari.com/en-EN/auto/250-gt-2-2,manufacturer_model_page,high,reviewed,Ferrari identifies the final fifty 250-bodied cars with the 330 America engine; specialist registry confirms all fifty were built in late 1963,2026-08-15
330 GT 2+2,1964,1964,1967,discontinued,Ferrari 330 GT 2+2,https://www.ferrari.com/en-EN/auto/330-gt-2-2,manufacturer_model_page,medium,reviewed,Series I and II are aggregated; end year aligns with the 365 GT 2+2,2026-08-15
365 GT 2+2,1967,1967,1971,discontinued,Ferrari 365 GTC4,https://www.ferrari.com/en-EN/auto/365-gtc4,manufacturer_model_page,high,reviewed,Ferrari states the 365 GTC4 took up where this model left off,2026-08-15
365 GTC4,1971,1971,1972,discontinued,Ferrari 365 GT4 2+2,https://www.ferrari.com/en-EN/auto/365-gt4-2-2,manufacturer_model_page,medium,reviewed,Ferrari text calls it the 1970 GTC4 while the archive record is 1971; production period follows the model record and specialist contrast,2026-08-15
400 Automatic,1976,1976,1979,discontinued,Ferrari 400 Automatic i,https://www.ferrari.com/en-EN/auto/400-automatic-i,manufacturer_model_page,high,reviewed,Ferrari states the injected Automatic i succeeded it in November 1979,2026-08-15
400 Automatic i,1979,1979,1985,discontinued,Ferrari 412,https://www.ferrari.com/en-EN/auto/412,manufacturer_model_page,medium,reviewed,Automatic injected variant ended when the 412 replaced the 400i range,2026-08-15
456 GTA,1996,1996,1998,discontinued,Ferrari 456 GT Grand Legacy,https://www.ferrari.com/magazine/articles/the-456-gt-a-grand-legacy,manufacturer_history_article,high,reviewed,Ferrari dates GTA arrival to 1996 and 456 replacement to 1998,2026-08-15
456M GTA,1998,1998,2003,discontinued,Ferrari 456M GTA,https://www.ferrari.com/en-EN/auto/456m-gta,manufacturer_model_page,medium,reviewed,Automatic variant follows the 456M lifecycle; end cross-checked with specialist histories,2026-08-15
GTC4Lusso T,2016,2016,2020,discontinued,Ferrari GTC4Lusso T,https://www.ferrari.com/en-EN/auto/gtc4lussot,manufacturer_model_page,medium,reviewed,V8 derivative follows the GTC4Lusso family production window,2026-08-15
Purosangue,2022,2022,,active,Ferrari Purosangue launch,https://www.ferrari.com/en-EN/corporate/articles/ferrari-purosangue-unlike-any-other,manufacturer_press_release,high,reviewed,Active four-door four-seater; no end year assigned,2026-08-15
512 BB LM,1978,1978,1982,discontinued,Ferrari 512 BB LM and specialist race histories,https://www.ferrari.com/en-US/auto/512-bb-lm,manufacturer_model_page,medium,reviewed,Ferrari confirms the 1978 derivative; end year reflects the final period-built cars and competition use reported by specialist histories,2026-08-15
Dino 208 GT4,1975,1975,1980,discontinued,Ferrari Dino 208 GT4 history,https://www.ferrari.com/magazine/articles/dino-208-gt4-the-worlds-smallest-v8,manufacturer_history_article,high,reviewed,Presented in November 1974; Ferrari archives it under 1975 and explicitly states production continued until 1980,2026-08-15
Mondial Cabriolet,1983,1983,1985,discontinued,Ferrari Open Air Pleasure,https://www.ferrari.com/en-HR/history/moments/1983/open-air-pleasure/more,manufacturer_history_article,high,reviewed,Unveiled to the press in September 1983; replaced by the 3.2 restyle in 1985,2026-08-15
3.2 Mondial Cabriolet,1985,1985,1989,discontinued,Ferrari Open Air Pleasure,https://www.ferrari.com/en-HR/history/moments/1983/open-air-pleasure/more,manufacturer_history_article,high,reviewed,Ferrari identifies the 1985 and 1989 Cabriolet restyles,2026-08-15
Mondial T Cabriolet,1989,1989,1993,discontinued,Ferrari Mondial T Cabriolet and specialist contrast,https://www.ferrari.com/en-EN/auto/mondial-t-cabriolet,manufacturer_model_page,medium,reviewed,Start follows Ferrari's 1989 archive; end year is cross-checked with specialist production histories,2026-08-15
LaFerrari Aperta,2016,2016,2018,discontinued,Ferrari 2018 Annual Report,https://cdn.ferrari.com/cms/network/media/pdf/ar_2018_ferrari_nv_web_0.pdf,manufacturer_report,high,reviewed,Launched in 2016 and reported finished during 2018,2026-08-15
F80,2024,2025,,active,Ferrari FY 2025 results,https://cdn.ferrari.com/cms/network/media/pdf/2026_02_10%20-%20Ferrari%20FY%202025%20Results%20Press%20Release.pdf,manufacturer_report,high,reviewed,Presented in October 2024; shipments began in Q4 2025,2026-08-15
Ferrari Roma Spider,2023,2023,,active,Ferrari Roma Spider,https://www.ferrari.com/en-EN/auto/ferrari-roma-spider,manufacturer_model_page,high,reviewed,Current open derivative of the Roma; no production end is asserted,2026-08-15
Ferrari Amalfi,2025,2025,,active,Ferrari Amalfi,https://www.ferrari.com/en-EN/auto/ferrari-amalfi,manufacturer_model_page,high,reviewed,Ferrari identifies the Amalfi as successor to the Roma; active model with no end year,2026-08-15
GTB Turbo,1986,1986,1989,discontinued,Ferrari GTB Turbo,https://www.ferrari.com/en-EN/auto/gtb-turbo,manufacturer_model_page,medium,reviewed,Italian-market turbo derivative produced within the 328 generation,2026-08-15
GTS Turbo,1986,1986,1989,discontinued,Ferrari GTS Turbo,https://www.ferrari.com/en-EN/auto/gts-turbo,manufacturer_model_page,medium,reviewed,Open Italian-market turbo derivative produced within the 328 generation,2026-08-15
355 F1 Berlinetta,1997,1997,1999,discontinued,Ferrari 355 F1 Berlinetta,https://www.ferrari.com/en-EN/auto/355-f1-berlinetta,manufacturer_model_page,high,reviewed,F1-transmission derivative produced during the final F355 years,2026-08-15
355 F1 GTS,1997,1997,1999,discontinued,Ferrari 355 F1 GTS,https://www.ferrari.com/en-EN/auto/355-f1-gts,manufacturer_model_page,high,reviewed,F1-transmission derivative produced during the final F355 years,2026-08-15
355 F1 Spider,1997,1997,1999,discontinued,Ferrari 355 F1 Spider,https://www.ferrari.com/en-EN/auto/355-f1-spider,manufacturer_model_page,high,reviewed,F1-transmission derivative produced during the final F355 years,2026-08-15
Ferrari 488 Pista,2018,2018,2020,discontinued,Ferrari 488 Pista,https://www.ferrari.com/en-EN/auto/ferrari-488-pista,manufacturer_model_page,medium,reviewed,Special-series derivative produced within the final 488 lifecycle,2026-08-15
