# Manually curated genealogy evidence. Blank relationships are intentional when evidence is insufficient.
model,source_year,engine_architecture_override,engine_location_override,seating_configuration_override,base_model_override,base_model_year_override,lineage_override,generation_override,predecessor_override,predecessor_year_override,predecessor_relationship_override,successor_override,successor_year_override,successor_relationship_override,taxonomy_notes_override,taxonomy_source_name,taxonomy_source_url,taxonomy_source_type,taxonomy_confidence_override,taxonomy_review_status,taxonomy_reviewed_at,human_decision_required
500 Superfast,1964,V12,front,2,,,Superfast luxury GT,1,,,,,,,No predecessor or successor is forced without explicit evidence.,Ferrari 500 Superfast,https://www.ferrari.com/en-EN/auto/500-superfast,manufacturer_model_page,medium,reviewed,2026-08-15,FALSE
275 GTB4,1966,V12,front,2,,,Road berlinettas,3,275 GTB,1964,evolution,365 GTB4,1968,evolution,Ferrari calls the 365 GTB4 an evolution of the 275 GTB4.,Ferrari 365 GTB4,https://www.ferrari.com/en-EN/auto/365-gtb4,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
330 GTC,1966,V12,front,2,,,GTC two-seat GT,1,,,,365 GTC,1968,evolution,Ferrari states the 365 GTC design was basically similar to the last 330 GTCs.,Ferrari 365 GTC,https://www.ferrari.com/en-EN/auto/365-gtc,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
330 GTS,1966,V12,front,2,330 GTC,1966,GTC two-seat GT,,,,,,,,Open counterpart of the 330 GTC; treated as a derivative and not a core generation.,Ferrari 330 GTS,https://www.ferrari.com/en-EN/auto/330-gts,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
365 California,1966,V12,front,2,,,California luxury spiders,1,,,,,,,A distinct very-low-volume luxury spider; no evidenced direct successor is assigned.,Ferrari 365 California,https://www.ferrari.com/en-EN/auto/365-california,manufacturer_model_page,medium,reviewed,2026-08-15,FALSE
365 GTB4,1968,V12,front,2,,,Road berlinettas,4,275 GTB4,1966,evolution,550 Maranello,1996,spiritual_successor,Accepted human decision: the 550 link is spiritual; the direct commercial successor was the mid-engined 365 GT4 BB.,Ferrari 365 GTB4,https://www.ferrari.com/en-EN/auto/365-gtb4,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
365 GTC,1968,V12,front,2,,,GTC two-seat GT,2,330 GTC,1966,evolution,,,,No direct successor is asserted; the 365 GTC/4 belongs to the 2+2 family in this taxonomy.,Ferrari 365 GTC,https://www.ferrari.com/en-EN/auto/365-gtc,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
365 GTS,1969,V12,front,2,365 GTC,1968,GTC two-seat GT,,,,,,,,Open derivative of the 365 GTC; distinct from the 365 GTS4 Daytona Spider.,Ferrari 365 GTS,https://www.ferrari.com/en-EN/auto/365-gts,manufacturer_model_page,medium,reviewed,2026-08-15,FALSE
365 GTS4,1969,V12,front,2,365 GTB4,1968,Road berlinettas,,,,,,,,Ferrari identifies it as the convertible version of the 365 GTB4; production began later than its 1969 debut.,Ferrari 365 GTS4,https://www.ferrari.com/en-EN/auto/365-gts4,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
550 Maranello,1996,V12,front,2,,,Modern front-engine V12 berlinettas,1,365 GTB4,1968,spiritual_successor,575M Maranello,2002,evolution,Accepted human decision: spiritual successor to the 365 GTB4 and direct commercial successor to the F512 M.,Ferrari 550 Maranello,https://www.ferrari.com/en-EN/auto/550-maranello,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
550 Barchetta Pininfarina,2000,V12,front,2,550 Maranello,1996,Modern front-engine V12 berlinettas,,,,,,,,Open limited derivative of the 550 Maranello.,Ferrari 550 Barchetta Pininfarina,https://www.ferrari.com/en-EN/auto/550-barchetta-pininfarina,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
575M Maranello,2002,V12,front,2,,,Modern front-engine V12 berlinettas,2,550 Maranello,1996,evolution,599 GTB Fiorano,2006,direct,The M denotes a modified Maranello; treated as evolution rather than a clean-sheet successor.,Ferrari 575M Maranello,https://www.ferrari.com/en-EN/auto/575m-maranello,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
Superamerica,2005,V12,front,2,575M Maranello,2002,Modern front-engine V12 berlinettas,,,,,,,,Convertible derivative of the contemporary 575M architecture.,Ferrari Superamerica,https://www.ferrari.com/en-EN/auto/superamerica,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
599 GTB Fiorano,2006,V12,front,2,,,Modern front-engine V12 berlinettas,3,575M Maranello,2002,direct,F12berlinetta,2012,direct,Core front-engine V12 berlinetta; special and open versions are derivatives.,Ferrari 599 GTB Fiorano,https://www.ferrari.com/en-EN/auto/599-gtb-fiorano,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
599 GTO,2010,V12,front,2,599 GTB Fiorano,2006,Modern front-engine V12 berlinettas,,,,,,,,Limited special-series derivative rather than a new core generation.,Ferrari 599 GTO,https://www.ferrari.com/en-EN/auto/599-gto,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
SA APERTA,2010,V12,front,2,599 GTB Fiorano,2006,Modern front-engine V12 berlinettas,,,,,,,,Limited open derivative of the 599 family.,Ferrari SA Aperta,https://www.ferrari.com/en-EN/auto/sa-aperta,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
F12berlinetta,2012,V12,front,2,,,Modern front-engine V12 berlinettas,4,599 GTB Fiorano,2006,direct,812 Superfast,2017,direct,Core successor in Ferrari's front-mid-engine V12 berlinetta sequence.,Ferrari F12berlinetta,https://www.ferrari.com/en-EN/auto/f12-berlinetta,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
F12tdf,2015,V12,front,2,F12berlinetta,2012,Modern front-engine V12 berlinettas,,,,,,,,Limited high-performance derivative of the F12berlinetta.,Ferrari F12tdf,https://www.ferrari.com/en-EN/auto/f12tdf,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
812 Superfast,2017,V12,front,2,,,Modern front-engine V12 berlinettas,5,F12berlinetta,2012,direct,12Cilindri,2024,direct,Core berlinetta succeeded officially by the 12Cilindri.,Ferrari 12Cilindri launch,https://www.ferrari.com/en-EN/corporate/articles/ferrari-12cilindri-for-the-few,manufacturer_press_release,high,reviewed,2026-08-15,FALSE
812 GTS,2019,V12,front,2,812 Superfast,2017,Modern front-engine V12 berlinettas,,,,,,,,Open derivative of the 812 Superfast.,Ferrari 812 GTS,https://www.ferrari.com/en-EN/auto/812-gts,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
812 Competizione,2021,V12,front,2,812 Superfast,2017,Modern front-engine V12 berlinettas,,,,,,,,Limited special-series berlinetta derived from the 812 Superfast.,Ferrari 812 Competizione,https://www.ferrari.com/en-EN/auto/812-competizione,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
812 Competizione A,2021,V12,front,2,812 Competizione,2021,Modern front-engine V12 berlinettas,,,,,,,,Open special-series derivative of the 812 Competizione.,Ferrari 812 Competizione A,https://www.ferrari.com/en-EN/auto/812-competizione-a,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
12Cilindri,2024,V12,front,2,,,Modern front-engine V12 berlinettas,6,812 Superfast,2017,direct,,,,Ferrari explicitly presents it as the successor to the 812 Superfast.,Ferrari 12Cilindri launch,https://www.ferrari.com/en-EN/corporate/articles/ferrari-12cilindri-for-the-few,manufacturer_press_release,high,reviewed,2026-08-15,FALSE
12Cilindri Spider,2024,V12,front,2,12Cilindri,2024,Modern front-engine V12 berlinettas,,,,,,,,Open derivative launched alongside the 12Cilindri berlinetta.,Ferrari 12Cilindri Spider,https://www.ferrari.com/en-EN/auto/ferrari-12cilindri-spider,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
250 GT 2+2,1960,V12,front,2+2,,,Ferrari V12 2+2 GT,1,,,,330 America,1963,evolution,Ferrari states that the final fifty 250 GT 2+2 cars received the 330 America engine; the transitional model retained the outgoing body and chassis.,Ferrari 250 GT 2+2,https://www.ferrari.com/en-EN/auto/250-gt-2-2,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
330 GT 2+2,1964,V12,front,2+2,,,Ferrari V12 2+2 GT,3,330 America,1963,direct,365 GT 2+2,1967,direct,The purpose-built 330 GT 2+2 directly replaced the short-lived transitional 330 America.,Ferrari 330 GT 2+2,https://www.ferrari.com/en-EN/auto/330-gt-2-2,manufacturer_model_page,medium,reviewed,2026-08-15,FALSE
365 GT 2+2,1967,V12,front,2+2,,,Ferrari V12 2+2 GT,4,330 GT 2+2,1964,direct,365 GTC4,1971,direct,Ferrari identifies the 365 GTC4 as continuing where the 365 GT 2+2 left off.,Ferrari 365 GTC4,https://www.ferrari.com/en-EN/auto/365-gtc4,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
365 GTC4,1971,V12,front,2+2,,,Ferrari V12 2+2 GT,5,365 GT 2+2,1967,direct,365 GT4 2+2,1972,direct,Ferrari explicitly calls it successor to the 365 GT 2+2 and predecessor of the 365 GT4 2+2.,Ferrari 365 GT4 2+2,https://www.ferrari.com/en-EN/auto/365-gt4-2-2,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
365 GT4 2+2,1972,V12,front,2+2,,,Ferrari V12 2+2 GT,6,365 GTC4,1971,direct,400 GT,1976,evolution,Ferrari describes a brand-new design following the GTC4; the 400 series later replaced it.,Ferrari 365 GT4 2+2,https://www.ferrari.com/en-EN/auto/365-gt4-2-2,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
400 GT,1976,V12,front,2+2,,,Ferrari V12 2+2 GT,7,365 GT4 2+2,1972,evolution,400 GTi,1979,evolution,Ferrari describes it as a more powerful development of the 365 GT4 2+2.,Ferrari 400 GT,https://www.ferrari.com/en-EN/auto/400-gt,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
400 Automatic,1976,V12,front,2+2,400 GT,1976,Ferrari V12 2+2 GT,,,,,,,,Automatic-transmission parallel derivative; Ferrari says the 400 series replaced the 365 GT4 2+2.,Ferrari 400 Automatic,https://www.ferrari.com/en-EN/auto/400-automatic,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
400 GTi,1979,V12,front,2+2,,,Ferrari V12 2+2 GT,8,400 GT,1976,evolution,412,1985,evolution,Fuel-injected evolution of the carburetted 400 GT.,Ferrari 400 GTi,https://www.ferrari.com/en-EN/auto/400-gti,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
400 Automatic i,1979,V12,front,2+2,400 GTi,1979,Ferrari V12 2+2 GT,,,,,,,,Automatic derivative of the injected 400 GTi; Ferrari also explicitly says it succeeded the 400 Automatic.,Ferrari 400 Automatic i,https://www.ferrari.com/en-EN/auto/400-automatic-i,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
412,1985,V12,front,2+2,,,Ferrari V12 2+2 GT,9,400 GTi,1979,evolution,456 GT,1992,direct,Ferrari says the 412 replaced the 400i; official history identifies it as the 456 GT predecessor.,Ferrari 456 GT Grand Legacy,https://www.ferrari.com/magazine/articles/the-456-gt-a-grand-legacy,manufacturer_history_article,high,reviewed,2026-08-15,FALSE
456 GT,1992,V12,front,2+2,,,Ferrari V12 2+2 GT,10,412,1985,direct,456M GT,1998,evolution,Ferrari explicitly identifies the 412 as predecessor and the 456M as the closely related replacement.,Ferrari 456 GT Grand Legacy,https://www.ferrari.com/magazine/articles/the-456-gt-a-grand-legacy,manufacturer_history_article,high,reviewed,2026-08-15,FALSE
456 GTA,1996,V12,front,2+2,456 GT,1992,Ferrari V12 2+2 GT,,,,,,,,Automatic-transmission derivative of the 456 GT.,Ferrari 456 GTA,https://www.ferrari.com/en-EN/auto/456-gta,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
456M GT,1998,V12,front,2+2,,,Ferrari V12 2+2 GT,11,456 GT,1992,evolution,612 Scaglietti,2004,direct,Ferrari explicitly calls the 456M an evolution of its traditional 2+2 interpretation.,Ferrari 456M GT,https://www.ferrari.com/en-EN/auto/456m-gt,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
456M GTA,1998,V12,front,2+2,456M GT,1998,Ferrari V12 2+2 GT,,,,,,,,Automatic-transmission derivative within the evolved 456M range.,Ferrari 456M GTA,https://www.ferrari.com/en-EN/auto/456m-gta,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
612 Scaglietti,2004,V12,front,2+2,,,Ferrari V12 2+2 GT,12,456M GT,1998,direct,FF,2011,direct,Ferrari presents it as continuation of the great 2+2 tradition; direct succession is corroborated by model chronology and specialist histories.,Ferrari 612 Scaglietti,https://www.ferrari.com/en-EN/auto/612-scaglietti,manufacturer_model_page,medium,reviewed,2026-08-15,FALSE
FF,2011,V12,front,2+2,,,Ferrari four-seat AWD GT,13,612 Scaglietti,2004,direct,GTC4Lusso,2016,evolution,First production Ferrari with four-wheel drive; the GTC4Lusso officially evolved its formula.,Ferrari Four-Wheeled First,https://www.ferrari.com/en-EN/magazine/articles/10-years-of-the-ferrari-ff-and-4rm,manufacturer_history_article,high,reviewed,2026-08-15,FALSE
GTC4Lusso,2016,V12,front,2+2,,,Ferrari four-seat AWD GT,14,FF,2011,evolution,Purosangue,2022,spiritual_successor,Ferrari says it replaced and evolved the FF; Purosangue later builds on the formula but changes category and layout.,Ferrari Mythbusters All-Wheel Drive,https://www.ferrari.com/en-EN/magazine/articles/mythbusters-all-wheel-drive,manufacturer_history_article,high,reviewed,2026-08-15,FALSE
GTC4Lusso T,2016,V8,front,2+2,GTC4Lusso,2016,GTC4Lusso derivatives,,,,,,,,V8 rear-wheel-drive derivative; moved out of the V12 family while retaining its GTC4Lusso base model.,Ferrari GTC4Lusso T,https://www.ferrari.com/en-EN/auto/gtc4lussot,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
Purosangue,2022,V12,front,4,,,Ferrari four-seat performance cars,1,GTC4Lusso,2016,spiritual_successor,,,,Ferrari calls it the first four-door four-seater and says it builds on the FF/GTC4Lusso formula; this supports conceptual rather than direct succession.,Ferrari Purosangue launch,https://www.ferrari.com/en-EN/corporate/articles/ferrari-purosangue-unlike-any-other,manufacturer_press_release,high,reviewed,2026-08-15,FALSE
330 America,1963,V12,front,2+2,250 GT 2+2,1960,Ferrari V12 2+2 GT,2,250 GT 2+2,1960,evolution,330 GT 2+2,1964,direct,Same 250 GT 2+2 body and chassis with the new four-litre V12; a transitional evolution directly replaced by the new 330 GT 2+2.,Ferrari 250 GT 2+2,https://www.ferrari.com/en-EN/auto/250-gt-2-2,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
365 GT4 BB,1971,flat-12,mid,2,,,BB and Testarossa flat-12,1,365 GTB4,1968,direct,512 BB,1976,evolution,Presented in 1971 but production began in June 1973. BB is the historical Berlinetta Boxer name; technically the engine is a 180-degree V12 rather than a true boxer.,Ferrari Bloodlines Flat-12,https://www.ferrari.com/en-EN/magazine/articles/bloodlines-flat-12-ferraris,manufacturer_history_article,high,reviewed,2026-08-15,FALSE
512 BB,1976,flat-12,mid,2,,,BB and Testarossa flat-12,2,365 GT4 BB,1971,evolution,512 BBi,1981,evolution,Capacity and drivability evolution of the 365 GT4 BB on the same core template.,Ferrari Bloodlines Flat-12,https://www.ferrari.com/en-EN/magazine/articles/bloodlines-flat-12-ferraris,manufacturer_history_article,high,reviewed,2026-08-15,FALSE
512 BBi,1981,flat-12,mid,2,,,BB and Testarossa flat-12,3,512 BB,1976,evolution,Testarossa,1984,direct,Fuel-injected update of the 512 BB; the substantially redesigned Testarossa is its direct heir rather than a mild evolution.,Ferrari Masterpiece of Style,https://www.ferrari.com/en-EN/history/moments/1984/masterpiece-of-style/more,manufacturer_history_article,high,reviewed,2026-08-15,FALSE
Testarossa,1984,flat-12,mid,2,,,BB and Testarossa flat-12,4,512 BBi,1981,direct,512 TR,1991,evolution,Ferrari calls it heir to the 512 BBi; the 512 TR retained its conceptual framework with extensive evolutionary changes.,Ferrari Bloodlines Flat-12,https://www.ferrari.com/en-EN/magazine/articles/bloodlines-flat-12-ferraris,manufacturer_history_article,high,reviewed,2026-08-15,FALSE
512 TR,1991,flat-12,mid,2,,,BB and Testarossa flat-12,5,Testarossa,1984,evolution,F512 M,1994,evolution,Ferrari describes the 512 TR as an evolution of the Testarossa and the F512 M as its modified final development.,Ferrari Evolution of an Icon,https://www.ferrari.com/en-EN/history/moments/1991/evolution-of-an-icon/more,manufacturer_history_article,high,reviewed,2026-08-15,FALSE
F512 M,1994,flat-12,mid,2,,,BB and Testarossa flat-12,6,512 TR,1991,evolution,550 Maranello,1996,direct,Final modified flat-12 model; Ferrari explicitly states that the front-engined 550 Maranello replaced it commercially.,Ferrari Bloodlines Flat-12,https://www.ferrari.com/en-EN/magazine/articles/bloodlines-flat-12-ferraris,manufacturer_history_article,high,reviewed,2026-08-15,FALSE
512 BB LM,1978,flat-12,mid,race-specific,512 BB,1976,BB competition derivatives,,,,,,,,Competition derivative prepared from the 512 BB by dealers to factory instructions with aerodynamic chassis engine and weight changes.,Ferrari 512 BB LM,https://www.ferrari.com/en-US/auto/512-bb-lm,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
Dino 308 GT4,1973,V8,mid,2+2,,,Dino GT4 and Ferrari Mondial,1,,,,Mondial 8,1980,direct,Presented in 1973 under the Dino marque; Ferrari says the Dino name ended after 1976 and the GT4 was Ferrari-badged until the Mondial replaced it in 1980.,Ferrari Dino 208 GT4 history,https://www.ferrari.com/magazine/articles/dino-208-gt4-the-worlds-smallest-v8,manufacturer_history_article,high,reviewed,2026-08-15,FALSE
Dino 208 GT4,1975,V8,mid,2+2,Dino 308 GT4,1973,Dino GT4 derivatives,,,,,,,,Italian-market two-litre V8 derivative sharing the 308 GT4 body; presented in November 1974 and catalogued by Ferrari under 1975.,Ferrari Dino 208 GT4 history,https://www.ferrari.com/magazine/articles/dino-208-gt4-the-worlds-smallest-v8,manufacturer_history_article,high,reviewed,2026-08-15,FALSE
Mondial 8,1980,V8,mid,2+2,,,Dino GT4 and Ferrari Mondial,2,Dino 308 GT4,1973,direct,Mondial Quattrovalvole,1982,evolution,Ferrari explicitly calls it the replacement and successor to the 308 GT4; it marks the completed transition from Dino to Ferrari branding.,Ferrari 4 Places 8th Title,https://www.ferrari.com/en-EN/history/moments/1980/4-places-8th-title/more,manufacturer_history_article,high,reviewed,2026-08-15,FALSE
Mondial Quattrovalvole,1982,V8,mid,2+2,,,Dino GT4 and Ferrari Mondial,3,Mondial 8,1980,evolution,3.2 Mondial,1985,evolution,Four-valve update of the Mondial 8 with otherwise closely retained body and architecture.,Ferrari 4 Places 8th Title,https://www.ferrari.com/en-EN/history/moments/1980/4-places-8th-title/more,manufacturer_history_article,high,reviewed,2026-08-15,FALSE
Mondial Cabriolet,1983,V8,mid,2+2,Mondial Quattrovalvole,1982,Mondial open derivatives,,,,,,,,Open 2+2 derivative of the Quattrovalvole; unveiled to the press in September 1983 and officially shown the following January.,Ferrari Open Air Pleasure,https://www.ferrari.com/en-HR/history/moments/1983/open-air-pleasure/more,manufacturer_history_article,high,reviewed,2026-08-15,FALSE
3.2 Mondial,1985,V8,mid,2+2,,,Dino GT4 and Ferrari Mondial,4,Mondial Quattrovalvole,1982,evolution,Mondial T,1989,evolution,Restyled and enlarged-engine evolution of the Quattrovalvole coupe.,Ferrari 3.2 Mondial,https://www.ferrari.com/en-EN/auto/3.2-mondial,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
3.2 Mondial Cabriolet,1985,V8,mid,2+2,3.2 Mondial,1985,Mondial open derivatives,,,,,,,,Open derivative updated in parallel with the 3.2-litre coupe.,Ferrari 3.2 Mondial Cabriolet,https://www.ferrari.com/en-EN/auto/3.2-mondial-cabriolet,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
Mondial T,1989,V8,mid,2+2,,,Dino GT4 and Ferrari Mondial,5,3.2 Mondial,1985,evolution,,,,Longitudinal-engine and transverse-gearbox evolution of the Mondial; no later successor is assigned.,Ferrari Mondial T,https://www.ferrari.com/en-EN/auto/mondial-t,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
Mondial T Cabriolet,1989,V8,mid,2+2,Mondial T,1989,Mondial open derivatives,,,,,,,,Open derivative using the Mondial T longitudinal-engine transverse-gearbox layout; no later successor is assigned.,Ferrari Mondial T Cabriolet,https://www.ferrari.com/en-EN/auto/mondial-t-cabriolet,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
275 GTB Competizione,1965,V12,front,race-specific,275 GTB,1964,Competition GT derivatives,,,,,,,,Ferrari records at least two 1965 prototypes reworked and lightened for racing followed by a small customer series in 1966.,Ferrari 275 GTB Competizione,https://www.ferrari.com/en-EN/auto/275-gtb-competizione,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
365 GTB4 Competizione,1971,V12,front,race-specific,365 GTB4,1968,Competition GT derivatives,,,,,,,,Competition version of the front-engined 365 GTB4; the source snapshot year denotes the first competition-series chronology.,Ferrari 365 GTB4 Competizione,https://www.ferrari.com/en-EN/auto/365-gtb4-competizione,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
FXX,2005,V12,mid,race-specific,Enzo Ferrari,2002,XX Programme,,,,,,,,Track research derivative based on the Enzo Ferrari; no homologated racing succession is implied.,Ferrari FXX,https://www.ferrari.com/en-EN/auto/fxx,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
599XX,2010,V12,front,race-specific,599 GTB Fiorano,2006,XX Programme,,,,,,,,Track research derivative based on the 599 GTB Fiorano; its continuity from FXX is retained as an alternative spiritual relation.,Ferrari 599XX,https://www.ferrari.com/en-EN/auto/599xx,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
FXX K,2014,V12,mid,race-specific,LaFerrari,2013,XX Programme,,,,,,,,Ferrari explicitly describes the FXX K research programme car as based on its first hybrid road car; XX continuity is recorded separately.,Ferrari FXX K,https://www.ferrari.com/en-EN/auto/fxx-k,manufacturer_model_page,high,reviewed,2026-08-15,FALSE
849 Testarossa Spider,2025,V8,mid,2,849 Testarossa,2025,Hybrid production supercars,,,,,,,,Open derivative of the 849 Testarossa and direct range replacement for the SF90 Spider.,Ferrari 849 Testarossa Spider launch,https://www.ferrari.com/en-EN/corporate/articles/849-testarossa-spider,manufacturer_press_release,high,reviewed,2026-08-15,FALSE
