# Manually curated file. Review and edit row by row; do not generate it from the Ferrari scraper.
model,source_year,production_start_year,production_end_year,production_status,period_source_name,period_source_url,period_source_type,period_confidence,period_review_status,period_notes,period_reviewed_at
308 GTB Quattrovalvole,1982,1982,1985,discontinued,Wikipedia - Ferrari 308 GTB/GTS,https://en.wikipedia.org/wiki/Ferrari_308_GTB/GTS,wikipedia,medium,reviewed,Quattrovalvole production range reported as 1982 to 1985,2026-07-27
308 GTS Quattrovalvole,1982,1982,1985,discontinued,Wikipedia - Ferrari 308 GTB/GTS,https://en.wikipedia.org/wiki/Ferrari_308_GTB/GTS,wikipedia,medium,reviewed,Quattrovalvole production range reported as 1982 to 1985,2026-07-27
328 GTB,1985,1985,1989,discontinued,Wikipedia - Ferrari 328,https://en.wikipedia.org/wiki/Ferrari_328,wikipedia,medium,reviewed,Production range reported for the 328 family,2026-07-27
328 GTS,1985,1985,1989,discontinued,Wikipedia - Ferrari 328,https://en.wikipedia.org/wiki/Ferrari_328,wikipedia,medium,reviewed,Production range reported for the 328 family,2026-07-27
348 TB,1989,1989,1993,discontinued,Wikipedia - Ferrari 348,https://en.wikipedia.org/wiki/Ferrari_348,wikipedia,medium,reviewed,Original tb variant replaced by the revised GTB in 1993,2026-07-27
348 TS,1989,1989,1993,discontinued,Wikipedia - Ferrari 348,https://en.wikipedia.org/wiki/Ferrari_348,wikipedia,medium,reviewed,Original ts variant replaced by the revised GTS in 1993,2026-07-27
348 Challenge,1993,1993,1995,discontinued,Ferrari 296 Challenge press kit,https://www.ferrari.com/content/dam/ferrari-fcom/old/pdf/Ferrari2029620Challenge_gbr.pdf,manufacturer_press_release,medium,reviewed,Ferrari lists the 348 Challenge as fielded from 1993 to 1995,2026-07-27
348 GT Competizione,1993,1993,1994,discontinued,Wikipedia - Ferrari 348,https://en.wikipedia.org/wiki/Ferrari_348,wikipedia,medium,reviewed,Limited competition-oriented variant produced across 1993 and 1994,2026-07-27
348 GTB,1993,1993,1995,discontinued,Wikipedia - Ferrari 348,https://en.wikipedia.org/wiki/Ferrari_348,wikipedia,medium,reviewed,Revised GTB variant ran through the end of 348 family production,2026-07-27
348 GTS,1993,1993,1995,discontinued,Wikipedia - Ferrari 348,https://en.wikipedia.org/wiki/Ferrari_348,wikipedia,medium,reviewed,Revised GTS variant ran through the end of 348 family production,2026-07-27
348 Spider,1993,1993,1995,discontinued,Wikipedia - Ferrari 348,https://en.wikipedia.org/wiki/Ferrari_348,wikipedia,medium,reviewed,Spider variant ran through the end of 348 family production,2026-07-27
F355 Berlinetta,1994,1994,1999,discontinued,Ferrari - F355 Berlinetta: The Best in the World,https://www.ferrari.com/en-EN/magazine/articles/f355-berlinetta-the-best-in-the-world,manufacturer_article,high,reviewed,Ferrari states it was unveiled in 1994 and sold through 1999,2026-07-27
F355 GTS,1994,1994,1999,discontinued,Wikipedia - Ferrari F355,https://en.wikipedia.org/wiki/Ferrari_F355,wikipedia,medium,reviewed,Variant follows the F355 family production range,2026-07-27
F355 Challenge,1995,1995,2001,discontinued,Ferrari 296 Challenge press kit,https://www.ferrari.com/content/dam/ferrari-fcom/old/pdf/Ferrari2029620Challenge_gbr.pdf,manufacturer_press_release,medium,reviewed,Ferrari lists the F355 Challenge as fielded from 1995 to 2001,2026-07-27
F355 Spider,1995,1995,1999,discontinued,Wikipedia - Ferrari F355,https://en.wikipedia.org/wiki/Ferrari_F355,wikipedia,medium,reviewed,Spider introduced in 1995 and follows the F355 family end year,2026-07-27
360 Modena,1999,1999,2004,discontinued,Wikipedia - Ferrari 360,https://en.wikipedia.org/wiki/Ferrari_360,wikipedia,medium,reviewed,Production rather than model-year range; replaced by the F430 in 2004,2026-07-27
360 Challenge,2000,2000,2006,discontinued,Wikipedia - Ferrari Challenge,https://en.wikipedia.org/wiki/Ferrari_Challenge,wikipedia,medium,reviewed,Years represent its lifecycle as the primary Ferrari Challenge car,2026-07-27
360 spider,2000,2000,2004,discontinued,Wikipedia - Ferrari 360,https://en.wikipedia.org/wiki/Ferrari_360,wikipedia,medium,reviewed,Spider variant follows the 360 family production period,2026-07-27
360 GT,2002,2002,2004,discontinued,Wikipedia - Ferrari 360,https://en.wikipedia.org/wiki/Ferrari_360,wikipedia,medium,reviewed,Source explicitly reports customer-car production from 2002 to 2004,2026-07-27
Challenge Stradale,2003,2003,2004,discontinued,Wikipedia - Ferrari 360,https://en.wikipedia.org/wiki/Ferrari_360,wikipedia,medium,reviewed,Track-focused road variant produced near the end of the 360 family lifecycle,2026-07-27
360 GTC,2004,2004,2005,discontinued,Wikipedia - Ferrari 360,https://en.wikipedia.org/wiki/Ferrari_360,wikipedia,low,needs_cross_check,Introduced for 2004; provisional end precedes the F430 GTC replacement,2026-07-27
F430,2004,2004,2009,discontinued,Wikipedia - Ferrari F430,https://en.wikipedia.org/wiki/Ferrari_F430,wikipedia,medium,reviewed,Production ran from mid-2004 through July 2009,2026-07-27
F430 Spider,2005,2005,2009,discontinued,Wikipedia - Ferrari F430,https://en.wikipedia.org/wiki/Ferrari_F430,wikipedia,medium,reviewed,Spider introduced in 2005 and follows the F430 family end year,2026-07-27
F430 Challenge,2006,2006,2011,discontinued,Wikipedia - Ferrari Challenge,https://en.wikipedia.org/wiki/Ferrari_Challenge,wikipedia,medium,reviewed,Years represent its lifecycle as the primary Ferrari Challenge car,2026-07-27
430 Scuderia,2007,2007,2009,discontinued,Wikipedia - Ferrari F430,https://en.wikipedia.org/wiki/Ferrari_F430,wikipedia,medium,reviewed,Introduced in 2007 and ended with the F430 family,2026-07-27
Scuderia Spider 16M,2008,2009,2009,discontinued,Wikipedia - Ferrari F430,https://en.wikipedia.org/wiki/Ferrari_F430,wikipedia,medium,reviewed,Unveiled in 2008; source reports production beginning in early 2009,2026-07-27
Ferrari 458 Italia,2009,2009,2015,discontinued,Wikipedia - Ferrari 458,https://en.wikipedia.org/wiki/Ferrari_458,wikipedia,medium,reviewed,Production range reported for the 458 family,2026-07-27
458 Challenge,2010,2011,2013,discontinued,Wikipedia - Ferrari 458,https://en.wikipedia.org/wiki/Ferrari_458,wikipedia,medium,reviewed,Presented in 2010 for competition use from 2011 through 2013,2026-07-27
458 Spider,2011,2011,2015,discontinued,Wikipedia - Ferrari 458,https://en.wikipedia.org/wiki/Ferrari_458,wikipedia,medium,reviewed,Variant production range reported as 2011 to 2015,2026-07-27
458 Speciale,2013,2013,2015,discontinued,Wikipedia - Ferrari 458,https://en.wikipedia.org/wiki/Ferrari_458,wikipedia,medium,reviewed,Variant production range reported as 2013 to 2015,2026-07-27
458 Challenge EVO,2014,2014,2016,discontinued,Wikipedia - Ferrari 458,https://en.wikipedia.org/wiki/Ferrari_458,wikipedia,medium,reviewed,Years represent its lifecycle as the primary Evo specification in Ferrari Challenge,2026-07-27
458 Speciale A,2014,2014,2015,discontinued,Wikipedia - Ferrari 458,https://en.wikipedia.org/wiki/Ferrari_458,wikipedia,medium,reviewed,Variant production range reported as 2014 to 2015,2026-07-27
488 GTB,2015,2015,2019,discontinued,Wikipedia - Ferrari 488,https://en.wikipedia.org/wiki/Ferrari_488,wikipedia,medium,reviewed,GTB replaced by F8 Tributo while the wider 488 family continued into 2020,2026-07-27
488 Spider,2016,2015,2019,discontinued,Wikipedia - Ferrari 488,https://en.wikipedia.org/wiki/Ferrari_488,wikipedia,medium,reviewed,Revealed in 2015; source year retained from scraper while production start is corrected,2026-07-27
488 Challenge,2016,2017,2020,discontinued,Wikipedia - Ferrari Challenge,https://en.wikipedia.org/wiki/Ferrari_Challenge,wikipedia,medium,reviewed,Revealed in 2016 and served as the primary Challenge specification from 2017 to 2020,2026-07-27
488 Pista Spider,2018,2018,2020,discontinued,Wikipedia - Ferrari 488,https://en.wikipedia.org/wiki/Ferrari_488,wikipedia,medium,reviewed,Introduced in 2018 and follows the wider 488 family production end,2026-07-27
F8 Tributo,2019,2019,2023,discontinued,Ferrari 2024 Annual Report,https://cdn.ferrari.com/download/Ferrari_Annual_Report_2024.pdf,manufacturer_report,medium,reviewed,Report states F8 Tributo deliveries were phased out in Q1 2023,2026-07-27
F8 Spider,2019,2019,2023,discontinued,Ferrari 2024 Annual Report,https://cdn.ferrari.com/download/Ferrari_Annual_Report_2024.pdf,manufacturer_report,medium,reviewed,Report states F8 Spider deliveries were phased out in Q4 2023,2026-07-27
365 GTB4,1968,1968,1973,discontinued,Wikipedia - Ferrari Daytona,https://en.wikipedia.org/wiki/Ferrari_Daytona,wikipedia,medium,reviewed,Production range reported for the GTB/4 coupe,2026-07-27
365 GTS4,1969,1971,1973,discontinued,Wikipedia - Ferrari Daytona,https://en.wikipedia.org/wiki/Ferrari_Daytona,wikipedia,medium,reviewed,Source year reflects the earlier model record; series production is reported from 1971,2026-07-27
365 GTB4 Competizione,1971,1971,1973,discontinued,Wikipedia - Ferrari Daytona,https://en.wikipedia.org/wiki/Ferrari_Daytona,wikipedia,medium,reviewed,Factory competition cars were built in three batches ending in 1973,2026-07-27
550 Maranello,1996,1996,2001,discontinued,Australian vehicle register,https://www.rover.infrastructure.gov.au/PublishedApprovals/SEVDetails/?id=227ae509-2aea-ee11-a1fd-002248969682,government_registry,medium,reviewed,Registry reports build range July 1996 to March 2001 while Wikipedia reports through 2002,2026-07-27
550 Barchetta Pininfarina,2000,2000,2001,discontinued,Wikipedia - Ferrari 550,https://en.wikipedia.org/wiki/Ferrari_550,wikipedia,medium,reviewed,Introduced in 2000 with production examples associated with 2000 and 2001,2026-07-27
575M Maranello,2002,2002,2006,discontinued,Wikipedia - Ferrari 575M Maranello,https://en.wikipedia.org/wiki/Ferrari_575M_Maranello,wikipedia,medium,reviewed,Production range reported as 2002 to 2006,2026-07-27
Superamerica,2005,2005,2006,discontinued,Wikipedia - Ferrari 575M Maranello,https://en.wikipedia.org/wiki/Ferrari_575M_Maranello,wikipedia,medium,reviewed,Introduced in 2005 and produced within the final 575M lifecycle,2026-07-27
599 GTB Fiorano,2006,2006,2012,discontinued,Wikipedia - Ferrari 599,https://en.wikipedia.org/wiki/Ferrari_599,wikipedia,medium,reviewed,Production range reported as 2006 to 2012,2026-07-27
F12berlinetta,2012,2012,2017,discontinued,Wikipedia - Ferrari F12,https://en.wikipedia.org/wiki/Ferrari_F12,wikipedia,medium,reviewed,Production range reported as 2012 to 2017,2026-07-27
F12tdf,2015,2015,2017,discontinued,Wikipedia - Ferrari F12,https://en.wikipedia.org/wiki/Ferrari_F12,wikipedia,medium,reviewed,Variant production range reported as 2015 to 2017,2026-07-27
812 Superfast,2017,2017,2024,discontinued,Wikipedia - Ferrari 812 Superfast,https://en.wikipedia.org/wiki/Ferrari_812_Superfast,wikipedia,medium,reviewed,Production range reported as 2017 to 2024,2026-07-27
365 GT4 2+2,1972,1972,1976,discontinued,Legacy manual curation,,manual_seed,low,pending_source_review,Migrated from the initial enrichment script,
400 GT,1976,1976,1979,discontinued,Legacy manual curation,,manual_seed,low,pending_source_review,Migrated from the initial enrichment script,
400 GTi,1979,1979,1985,discontinued,Legacy manual curation,,manual_seed,low,pending_source_review,Migrated from the initial enrichment script,
412,1985,1985,1989,discontinued,Legacy manual curation,,manual_seed,low,pending_source_review,Migrated from the initial enrichment script,
456 GT,1992,1992,1998,discontinued,Legacy manual curation,,manual_seed,low,pending_source_review,Migrated from the initial enrichment script,
456M GT,1998,1998,2003,discontinued,Legacy manual curation,,manual_seed,low,pending_source_review,Migrated from the initial enrichment script,
612 Scaglietti,2004,2004,2011,discontinued,Legacy manual curation,,manual_seed,low,pending_source_review,Migrated from the initial enrichment script,
FF,2011,2011,2016,discontinued,Legacy manual curation,,manual_seed,low,pending_source_review,Migrated from the initial enrichment script,
GTC4Lusso,2016,2016,2020,discontinued,Legacy manual curation,,manual_seed,low,pending_source_review,Migrated from the initial enrichment script,
Dino 308 GT4,1973,1973,1980,discontinued,Legacy manual curation,,manual_seed,low,pending_source_review,Migrated from the initial enrichment script,
Mondial 8,1980,1980,1982,discontinued,Legacy manual curation,,manual_seed,low,pending_source_review,Migrated from the initial enrichment script,
Mondial Quattrovalvole,1982,1982,1985,discontinued,Legacy manual curation,,manual_seed,low,pending_source_review,Migrated from the initial enrichment script,
3.2 Mondial,1985,1985,1989,discontinued,Legacy manual curation,,manual_seed,low,pending_source_review,Migrated from the initial enrichment script,
Mondial T,1989,1989,1993,discontinued,Legacy manual curation,,manual_seed,low,pending_source_review,Migrated from the initial enrichment script,
Ferrari California,2008,2008,2012,discontinued,Legacy manual curation,,manual_seed,low,pending_source_review,Migrated from the initial enrichment script,
Ferrari California 30,2012,2012,2014,discontinued,Legacy manual curation,,manual_seed,low,pending_source_review,Migrated from the initial enrichment script,
Ferrari California T,2014,2014,2017,discontinued,Legacy manual curation,,manual_seed,low,pending_source_review,Migrated from the initial enrichment script,
Ferrari Portofino,2017,2017,2020,discontinued,Legacy manual curation,,manual_seed,low,pending_source_review,Migrated from the initial enrichment script,
Ferrari Portofino M,2020,2020,2024,discontinued,Ferrari 2024 Annual Report,https://cdn.ferrari.com/download/Ferrari_Annual_Report_2024.pdf,manufacturer_report,medium,reviewed,Report states the Portofino M was phased out during 2024,2026-07-27
Ferrari Roma,2019,2019,2024,discontinued,Ferrari 2024 Annual Report,https://cdn.ferrari.com/download/Ferrari_Annual_Report_2024.pdf,manufacturer_report,medium,reviewed,Report states the Roma was phased out during 2024,2026-07-27
SF90 Stradale,2019,2019,2024,discontinued,Ferrari 2024 Annual Report,https://cdn.ferrari.com/download/Ferrari_Annual_Report_2024.pdf,manufacturer_report,medium,reviewed,Report states the SF90 Stradale was phased out during 2024,2026-07-27
812 GTS,2019,2019,2024,discontinued,Ferrari 2024 Annual Report,https://cdn.ferrari.com/download/Ferrari_Annual_Report_2024.pdf,manufacturer_report,medium,reviewed,Report states the 812 GTS was phased out during 2024,2026-07-27
812 Competizione,2021,2021,2024,discontinued,Ferrari 2024 Annual Report,https://cdn.ferrari.com/download/Ferrari_Annual_Report_2024.pdf,manufacturer_report,medium,reviewed,Report states the 812 Competizione was phased out during 2024,2026-07-27
GTO,1984,1984,1986,discontinued,Legacy manual curation,,manual_seed,low,pending_source_review,Migrated from the initial enrichment script,
F40,1987,1987,1992,discontinued,Legacy manual curation,,manual_seed,low,pending_source_review,Migrated from the initial enrichment script,
F50,1995,1995,1997,discontinued,Legacy manual curation,,manual_seed,low,pending_source_review,Migrated from the initial enrichment script,
Enzo Ferrari,2002,2002,2004,discontinued,Legacy manual curation,,manual_seed,low,pending_source_review,Migrated from the initial enrichment script,
LaFerrari,2013,2013,2016,discontinued,Legacy manual curation,,manual_seed,low,pending_source_review,Migrated from the initial enrichment script,
